comment,label,processed_comment
"Game này chiến thuật đỉnh, chơi cực kỳ cuốn!",positive,game chiến_thuật đỉnh chơi cực_kỳ cuốn
"Dịch vụ hỗ trợ khách hàng kém, không nhiệt tình!",negative,dịch_vụ hỗ_trợ khách_hàng kém không nhiệt_tình
"Video này ngắn gọn, xem cho vui thôi.",neutral,video ngắn_gọn xem vui thôi
"Nhạc acoustic mượt mà, nghe muốn tan chảy!",positive,nhạc acoustic_mượt mà nghe muốn tan chảy
"Hàng giao lâu, chất lượng thì dưới trung bình!",negative,hàng giao lâu chất_lượng thì dưới trung_bình
"App này mới nghe nói, để tải về xem sao.",neutral,app mới nghe nói để tải về xem sao
"Clip kể chuyện ma ghê, xem tối nổi da gà!",positive,clip kể chuyện ma ghê xem tối nổi da gà
"Phim gì mà nhảm nhí, bỏ ngang luôn!",negative,phim gì mà nhảm nhí bỏ ngang luôn
"Sản phẩm này giá mềm, chưa biết dùng ổn không.",neutral,sản_phẩm giá mềm chưa biết dùng ổn không
"Game này gay cấn, chơi mà không muốn dừng!",positive,game gay_cấn chơi mà không muốn dừng
"Dịch vụ quảng cáo thì ngon, thực tế thì dở!",negative,dịch_vụ quảng_cáo thì ngon thực_tế thì dở
"Nhạc này lạ lạ, chưa rõ có hợp không.",neutral,nhạc lạ_lạ chưa rõ hợp không
"Video này hình ảnh đẹp, xem mê luôn!",positive,video hình_ảnh đẹp xem mê luôn
"Hàng giao thiếu, shop đổ lỗi cho khách!",negative,hàng giao thiếu shop đổ lỗi khách
"Clip này nội dung mới mẻ, để xem hết đã.",neutral,clip nội_dung mới_mẻ để xem hết
"App này giao diện đẹp, dùng rất thích!",positive,app giao_diện đẹp dùng rất thích
"Phim dở tệ hại, phí cả buổi tối!",negative,phim dở_tệ hại phí cả buổi tối
"Game này bạn chơi khen, để thử xem sao.",neutral,game bạn chơi khen để thử xem sao
"Nhạc live này đỉnh, nghe mà nổi hết da gà!",positive,nhạc live đỉnh nghe mà nổi hết da gà
"Giao hàng chậm, còn giao nhầm hàng nữa!",negative,giao hàng chậm còn giao nhầm hàng nữa
"Video này hơi buồn, chưa biết có hay không.",neutral,video hơi buồn chưa biết hay không
"Sản phẩm vượt kỳ vọng, đáng đồng tiền!",positive,sản_phẩm vượt kỳ_vọng đáng đồng_tiền
Dịch vụ chăm sóc khách hàng như trò đùa!,negative,dịch_vụ chăm_sóc khách_hàng như trò đùa
"Phim này dài tập, để từ từ xem.",neutral,phim dài_tập để từ_từ xem
"Clip này hài hước, xem cười chảy nước mắt!",positive,clip hài_hước xem cười chảy nước_mắt
"Hàng rẻ mà kém, dùng vài bữa là hỏng!",negative,hàng rẻ mà kém dùng vài bữa hỏng
"App này mới ra mắt, chưa rõ có tốt không.",neutral,app mới ra_mắt chưa rõ tốt không
"Game này hấp dẫn, chơi mà quên giờ giấc!",positive,game hấp_dẫn chơi mà quên giờ_giấc
"Nhạc gì mà lạc lõng, nghe chẳng vào!",negative,nhạc gì mà lạc_lõng nghe chẳng vào
"Video này hình đẹp, chưa rõ nội dung ra sao.",neutral,video hình_đẹp chưa rõ nội_dung ra sao
"Phim này kịch bản sáng tạo, xem rất thích!",positive,phim kịch_bản sáng_tạo xem rất thích
"Dịch vụ giao hàng thiếu trách nhiệm, tệ!",negative,dịch_vụ giao hàng thiếu trách_nhiệm tệ
"Sản phẩm này giá cao, để cân nhắc thêm.",neutral,sản_phẩm giá cao để cân_nhắc thêm
"Clip phân tích chi tiết, xem học được nhiều!",positive,clip phân_tích chi_tiết xem học nhiều
"Hàng giao trầy xước, shop không chịu trách nhiệm!",negative,hàng giao trầy_xước shop không chịu trách_nhiệm
"Game này mới lên kệ, chưa biết có hot không.",neutral,game mới lên kệ chưa biết hot không
"Nhạc này nhẹ nhàng, nghe thư giãn ghê!",positive,nhạc nhẹ_nhàng nghe thư_giãn ghê
"App toàn lỗi, dùng mà muốn đập điện thoại!",negative,app toàn lỗi dùng mà muốn đập điện_thoại
"Video này ngắn gọn, xem thấy cũng được.",neutral,video ngắn_gọn xem thấy
"Phim hành động này mãn nhãn, quá đỉnh!",positive,phim hành_động mãn nhãn quá đỉnh
"Dịch vụ giao hàng lề mề, không đáng tin!",negative,dịch_vụ giao hàng lề_mề không đáng tin
"Sản phẩm này bạn recommend, để thử xem.",neutral,sản_phẩm bạn recommend để thử xem
"Clip này ý tưởng độc đáo, xem thích mê!",positive,clip ý_tưởng độc_đáo xem thích mê
"Hàng giao lâu, mở ra còn hỏng luôn!",negative,hàng giao_lâu mở ra còn hỏng luôn
"Nhạc này mới lạ, chưa biết có thích không.",neutral,nhạc mới_lạ chưa biết thích không
"Game nhập vai này hay, chơi cực kỳ cuốn!",positive,game nhập_vai hay chơi cực_kỳ cuốn
"Dịch vụ quá tệ, không xứng đáng 1 sao!",negative,dịch_vụ quá tệ không xứng_đáng 1 sao
"Video này nội dung nhẹ nhàng, xem cho vui.",neutral,video nội_dung nhẹ_nhàng xem vui
"Phim này cảm động, xem mà khóc nức nở!",positive,phim cảm_động xem mà khóc nức_nở
"Hàng gì mà lởm thế, mua về tức tối!",negative,hàng gì mà lởm_thế mua về tức tối
"App này mới cài đặt, chưa rõ có ổn không.",neutral,app mới cài_đặt chưa rõ ổn không
"Clip reaction này vui, xem cười đau bụng!",positive,clip reaction vui xem cười đau bụng
"Giao hàng chậm, nhân viên còn thái độ!",negative,giao hàng chậm nhân_viên còn thái_độ
"Game này đồ họa đẹp, để trải nghiệm xem.",neutral,game đồ họa đẹp để trải_nghiệm xem
"Nhạc EDM này sôi động, nghe muốn nhảy!",positive,nhạc edm sôi_động nghe muốn nhảy
"Dịch vụ hỗ trợ khách hàng kém cỏi, chán!",negative,dịch_vụ hỗ_trợ khách_hàng kém_cỏi chán
"Phim này dài, chưa biết có đáng xem không.",neutral,phim dài chưa biết đáng xem không
"Video này sáng tạo, xem mà trầm trồ ghê!",positive,video sáng_tạo xem mà trầm_trồ ghê
"Hàng giao sai mẫu, shop không chịu đổi!",negative,hàng giao sai mẫu shop không chịu đổi
"Sản phẩm này giá rẻ, để mua thử đã.",neutral,sản_phẩm giá rẻ để mua thử
"Game này kịch tính, chơi mà tim đập mạnh!",positive,game kịch tính_chơi mà tim đập mạnh
"Nhạc gì mà chán ngắt, nghe phát buồn!",negative,nhạc gì mà chán_ngắt nghe phát buồn
"Clip này nội dung lạ, xem thử cho biết.",neutral,clip nội_dung lạ xem thử biết
"Phim này plot hay, xem xong bất ngờ!",positive,phim plot hay xem xong bất_ngờ
"Dịch vụ giao hàng tệ hại, không đúng giờ!",negative,dịch_vụ giao hàng tệ_hại không đúng giờ
"App này nghe nói tiện, để dùng thử xem.",neutral,app nghe nói_tiện để dùng thử xem
"Video du lịch này đẹp, xem muốn đi ngay!",positive,video du_lịch đẹp xem muốn đi ngay
"Hàng kém bền, dùng vài hôm là hỏng!",negative,hàng kém bền dùng vài hôm hỏng
"Nhạc này bình thường, chưa thấy gì hay.",neutral,nhạc bình_thường chưa thấy gì hay
"Game này lôi cuốn, chơi quên cả ăn!",positive,game lôi_cuốn chơi quên cả ăn
"Dịch vụ hỗ trợ chậm, thái độ không tốt!",negative,dịch_vụ hỗ_trợ chậm thái_độ không tốt
"Phim này bạn khen, để xem có hay không.",neutral,phim bạn khen để xem hay không
"Clip này hình ảnh đẹp, nội dung cuốn!",positive,clip hình_ảnh đẹp nội_dung cuốn
"Hàng giao trễ, còn bị bể vỡ nữa!",negative,hàng giao_trễ còn bể vỡ nữa
"Sản phẩm này giá ổn, chưa rõ chất lượng.",neutral,sản_phẩm giá ổn chưa rõ chất_lượng
"Nhạc ballad này thấm, nghe mà xúc động!",positive,nhạc ballad thấm nghe mà xúc_động
"Video này đỉnh thật, nội dung quá sáng tạo!",positive,video đỉnh thật nội_dung quá sáng_tạo
"Dịch vụ quá tệ, không ai thèm quay lại!",negative,dịch_vụ quá tệ không ai thèm quay lại
"Game này mới phát hành, chưa rõ có đáng chơi.",neutral,game mới phát_hành chưa rõ đáng chơi
"Nhạc này cuốn hút, nghe là muốn hát theo!",positive,nhạc cuốn_hút nghe muốn hát theo
"Giao hàng siêu chậm, làm ăn chán quá!",negative,giao hàng siêu_chậm làm_ăn chán quá
"Clip này nội dung nhẹ, xem thư giãn thôi.",neutral,clip nội_dung nhẹ xem thư_giãn thôi
"Phim này gay cấn, xem mà nghẹt thở!",positive,phim gay_cấn xem mà nghẹt_thở
"Hàng kém chất lượng, mua về chỉ tổ bực!",negative,hàng kém chất_lượng mua về chỉ tổ bực
"Sản phẩm này bạn giới thiệu, để thử xem.",neutral,sản_phẩm bạn giới_thiệu để thử xem
"App này nhanh nhẹn, dùng sướng cả người!",positive,app nhanh_nhẹn dùng sướng cả người
"Nhạc gì mà lạc quẻ, nghe không nổi!",negative,nhạc gì mà lạc_quẻ nghe không nổi
"Video này hơi dài dòng, chưa rõ hay không.",neutral,video hơi dài_dòng chưa rõ hay không
"Clip này dạy hay, áp dụng được luôn!",positive,clip dạy hay áp_dụng luôn
"Dịch vụ giao hàng tệ, không đúng cam kết!",negative,dịch_vụ giao hàng tệ không đúng cam_kết
"Game này đồ họa đẹp, để chơi thử đã.",neutral,game đồ họa đẹp để chơi thử
"Phim này ý nghĩa sâu sắc, xem xong thấm!",positive,phim ý_nghĩa sâu_sắc xem xong thấm
"Hàng giao sai mẫu, shop còn đổ lỗi khách!",negative,hàng giao sai mẫu shop còn đổ lỗi khách
"Nhạc này nghe ổn, nhưng không quá nổi bật.",neutral,nhạc nghe ổn nhưng không quá nổi_bật
"Video dựng quá đỉnh, xem mê mẩn luôn!",positive,video dựng quá đỉnh xem mê_mẩn luôn
"App này lag hoài, xài mà phát cáu!",negative,app lag hoài_xài mà phát cáu
"Sản phẩm này mới mua, chưa biết bền không.",neutral,sản_phẩm mới mua chưa biết bền không
"Clip này tích cực, xem xong vui cả ngày!",positive,clip tích_cực xem xong vui cả ngày
"Giao hàng trễ hạn, hàng còn bị móp!",negative,giao hàng trễ hạn hàng còn móp
"Phim này nghe bảo buồn, để xem thử sao.",neutral,phim nghe bảo buồn để xem thử sao
"Game này chiến thuật hay, chơi cực kỳ thích!",positive,game chiến_thuật hay chơi cực_kỳ thích
"Dịch vụ hỗ trợ khách hàng lười biếng, chán!",negative,dịch_vụ hỗ_trợ khách_hàng lười_biếng chán
"Video này ngắn, xem giải trí cũng được.",neutral,video ngắn xem giải_trí
"Nhạc acoustic này nhẹ, nghe thư thái ghê!",positive,nhạc acoustic nhẹ nghe thư_thái ghê
"Hàng giao lâu, chất lượng thì quá tệ!",negative,hàng giao lâu chất_lượng thì quá tệ
"App này mới nghe nói, để cài thử xem.",neutral,app mới nghe nói để cài thử xem
"Clip kể chuyện rùng rợn, xem mà sợ!",positive,clip kể chuyện rùng_rợn xem mà sợ
"Phim này nhạt nhẽo, xem nửa đường bỏ!",negative,phim nhạt nhẽo xem nửa đường bỏ
"Sản phẩm này giá rẻ, chưa rõ dùng tốt không.",neutral,sản_phẩm giá rẻ chưa rõ dùng tốt không
"Game này hồi hộp, chơi mà tim đập nhanh!",positive,game hồi_hộp chơi mà tim đập nhanh
"Dịch vụ quảng cáo hay, thực tế thì dởm!",negative,dịch_vụ quảng_cáo hay thực_tế thì dởm
"Nhạc này lạ lạ, chưa biết có hợp gu.",neutral,nhạc lạ_lạ chưa biết hợp gu
"Video này quay đẹp, xem thích mắt ghê!",positive,video quay đẹp xem thích mắt ghê
"Hàng giao thiếu đồ, shop không chịu bù!",negative,hàng giao thiếu đồ_shop không chịu bù
"Clip này nội dung mới, để xem hết thử.",neutral,clip nội_dung mới để xem hết thử
"App này giao diện mượt, dùng rất đã!",positive,app giao_diện mượt dùng rất
"Phim này dở kinh khủng, phí thời gian!",negative,phim dở_kinh khủng_phí thời_gian
"Game này bạn khen, để chơi thử xem.",neutral,game bạn khen để chơi thử xem
"Nhạc live này hay, nghe mà nổi da gà!",positive,nhạc live hay nghe mà nổi da gà
"Giao hàng chậm, còn giao nhầm địa chỉ!",negative,giao hàng chậm còn giao nhầm địa_chỉ
"Video này hơi buồn, chưa rõ có hay không.",neutral,video hơi buồn chưa rõ hay không
"Sản phẩm này đáng giá, mua không tiếc!",positive,sản_phẩm đáng_giá mua không tiếc
"Dịch vụ hỗ trợ khách hàng quá kém, bực!",negative,dịch_vụ hỗ_trợ khách_hàng quá kém bực
"Phim này dài tập, để xem từ từ.",neutral,phim dài_tập để xem từ_từ
"Clip này cười đau bụng, xem quá đã!",positive,clip cười đau bụng xem quá
"Hàng rẻ mà kém, mua về vứt xó!",negative,hàng rẻ mà kém mua về vứt_xó
"App này mới ra, chưa biết có tốt không.",neutral,app mới ra chưa biết tốt không
"Game này lôi cuốn, chơi quên cả ngủ!",positive,game lôi_cuốn chơi quên cả ngủ
"Nhạc gì mà chán chết, nghe không vô!",negative,nhạc gì mà chán chết nghe không vô
"Video này hình đẹp, chưa rõ nội dung sao.",neutral,video hình_đẹp chưa rõ nội_dung sao
"Phim này kịch bản hay, xem rất cuốn!",positive,phim kịch_bản hay xem rất cuốn
"Dịch vụ giao hàng thiếu chuyên nghiệp, tệ!",negative,dịch_vụ giao hàng thiếu chuyên_nghiệp tệ
"Sản phẩm này giá cao, để suy nghĩ thêm.",neutral,sản_phẩm giá cao để suy_nghĩ thêm
"Clip này phân tích sâu, xem học hỏi nhiều!",positive,clip phân_tích sâu xem học_hỏi nhiều
"Hàng giao trầy, shop không chịu đổi mới!",negative,hàng giao trầy shop không chịu đổi_mới
"Game này mới lên sóng, chưa biết hot không.",neutral,game mới lên sóng chưa biết hot không
"Nhạc này dịu dàng, nghe muốn thả hồn!",positive,nhạc dịu_dàng nghe muốn thả hồn
"App này toàn lỗi, dùng mà tức điên!",negative,app toàn lỗi dùng mà tức điên
"Video này ngắn gọn, xem thấy cũng ổn.",neutral,video ngắn_gọn xem thấy ổn
"Phim hành động này đỉnh, xem sướng mắt!",positive,phim hành_động đỉnh xem sướng mắt
"Dịch vụ giao hàng lằng nhằng, không đáng tin!",negative,dịch_vụ giao hàng lằng_nhằng không đáng tin
"Sản phẩm này bạn gợi ý, để thử xem sao.",neutral,sản_phẩm bạn gợi_ý để thử xem sao
"Clip này ý tưởng lạ, xem thích ghê!",positive,clip ý_tưởng lạ xem thích ghê
"Hàng giao lâu, mở ra hỏng luôn!",negative,hàng giao_lâu mở ra hỏng luôn
"Nhạc này mới mẻ, chưa biết có thích không.",neutral,nhạc mới_mẻ chưa biết thích không
"Game nhập vai này đỉnh, chơi cực kỳ cuốn!",positive,game nhập_vai đỉnh chơi cực_kỳ cuốn
"Dịch vụ quá tệ, không đáng để thử!",negative,dịch_vụ quá tệ không đáng để thử
"Video này nội dung nhẹ, xem cho vui.",neutral,video nội_dung nhẹ xem vui
"Phim này cảm xúc, xem mà rơi nước mắt!",positive,phim cảm_xúc xem mà rơi nước_mắt
"Hàng gì mà kém thế, mua về tiếc nuối!",negative,hàng gì mà kém thế mua về tiếc_nuối
"App này mới tải, chưa rõ có ổn không.",neutral,app mới tải chưa rõ ổn không
"Clip reaction này vui, xem cười sảng khoái!",positive,clip reaction vui xem cười sảng_khoái
"Giao hàng chậm, nhân viên còn vô trách nhiệm!",negative,giao hàng chậm nhân_viên còn vô_trách_nhiệm
"Game này đồ họa đẹp, để chơi thử xem.",neutral,game đồ họa đẹp để chơi thử xem
"Nhạc EDM này bốc, nghe muốn nhún nhảy!",positive,nhạc edm bốc nghe muốn nhún_nhảy
"Dịch vụ hỗ trợ khách hàng tệ, không nhiệt tình!",negative,dịch_vụ hỗ_trợ khách_hàng tệ không nhiệt_tình
"Phim này dài, chưa biết có đáng xem.",neutral,phim dài chưa biết đáng xem
"Video này độc đáo, xem mà mê mẩn!",positive,video độc_đáo xem mà mê mẩn
"Hàng giao sai, shop không chịu sửa lỗi!",negative,hàng giao sai shop không chịu sửa lỗi
"Sản phẩm này giá mềm, để mua thử xem.",neutral,sản_phẩm giá mềm để mua thử xem
"Game này căng thẳng, chơi mà hồi hộp!",positive,game căng_thẳng chơi mà hồi_hộp
"Nhạc gì mà chán ngắt, nghe phát chán!",negative,nhạc gì mà chán_ngắt nghe phát chán
"Clip này nội dung lạ, xem thử chơi.",neutral,clip nội_dung lạ xem thử chơi
"Phim này plot twist đỉnh, xem bất ngờ!",positive,phim plot twist đỉnh xem bất_ngờ
"Dịch vụ giao hàng tệ, không đúng hẹn!",negative,dịch_vụ giao hàng tệ không đúng hẹn
"App này nghe bảo tiện, để dùng thử.",neutral,app nghe bảo_tiện để dùng thử
"Video du lịch này đẹp, xem muốn đi liền!",positive,video du_lịch đẹp xem muốn đi liền
"Hàng kém chất lượng, dùng vài hôm hỏng!",negative,hàng kém chất_lượng dùng vài hôm hỏng
"Nhạc này bình thường, chưa thấy gì đặc biệt.",neutral,nhạc bình_thường chưa thấy gì đặc_biệt
"Game này hấp dẫn, chơi quên cả thời gian!",positive,game hấp_dẫn chơi quên cả thời_gian
"Dịch vụ hỗ trợ chậm, thái độ không tốt!",negative,dịch_vụ hỗ_trợ chậm thái_độ không tốt
"Phim này bạn khen, để xem thử sao.",neutral,phim bạn khen để xem thử sao
"Clip này quay đẹp, nội dung lôi cuốn!",positive,clip quay đẹp nội_dung lôi_cuốn
"Hàng giao trễ, còn bị bể nữa!",negative,hàng giao_trễ còn bể nữa
"Sản phẩm này giá ổn, chưa rõ bền không.",neutral,sản_phẩm giá ổn chưa rõ bền không
"Nhạc ballad này hay, nghe mà thấm thía!",positive,nhạc ballad hay nghe mà thấm_thía
"Video này quá đỉnh, xem xong muốn xem lại!",positive,video quá đỉnh xem xong muốn xem_lại
"Dịch vụ quá tệ, không đáng để thử lần hai!",negative,dịch_vụ quá tệ không đáng để thử lần hai
"Game này mới ra mắt, chưa biết có hay không.",neutral,game mới ra_mắt chưa biết hay không
"Nhạc này hay tuyệt, nghe là mê mẩn!",positive,nhạc hay tuyệt_nghe mê mẩn
"Giao hàng siêu chậm, làm ăn thiếu trách nhiệm!",negative,giao hàng siêu_chậm làm_ăn thiếu trách_nhiệm
"Clip này nội dung ổn, xem giải trí được.",neutral,clip nội_dung ổn xem giải_trí
"Phim này kịch tính, xem mà tim đập thình thịch!",positive,phim kịch tính xem mà tim đập thình_thịch
"Hàng gì mà kém thế, mua về chỉ tổ tức!",negative,hàng gì mà kém thế mua về chỉ tổ tức
"Sản phẩm này bạn recommend, để thử xem sao.",neutral,sản_phẩm bạn recommend để thử xem sao
"App này mượt mà, dùng thích không tả nổi!",positive,app mượt_mà dùng thích không tả nổi
"Nhạc gì mà chán thế, nghe chẳng ra hồn!",negative,nhạc gì mà chán_thế nghe chẳng ra hồn
"Video này hơi dài, chưa rõ có đáng xem.",neutral,video hơi dài chưa rõ đáng xem
"Clip này dạy hay, làm theo thành công liền!",positive,clip dạy hay làm theo thành_công liền
"Dịch vụ giao hàng tệ, không tôn trọng khách!",negative,dịch_vụ giao hàng tệ không tôn_trọng khách
"Game này hình ảnh đẹp, để chơi thử xem.",neutral,game hình_ảnh đẹp để chơi thử xem
"Phim này cảm động, xem xong rưng rưng nước mắt!",positive,phim cảm_động xem xong rưng_rưng nước_mắt
"Hàng giao sai mẫu, shop còn không chịu đổi!",negative,hàng giao sai mẫu shop còn không chịu đổi
"Nhạc này nghe tạm, chưa có gì nổi trội.",neutral,nhạc nghe tạm chưa gì nổi_trội
"Video dựng quá đẹp, nội dung cuốn hút ghê!",positive,video dựng quá đẹp nội_dung cuốn_hút ghê
"App này lag kinh khủng, dùng mà phát bực!",negative,app lag kinh_khủng_dùng mà phát bực
"Sản phẩm này mới mua, chưa biết dùng lâu được không.",neutral,sản_phẩm mới mua chưa biết dùng lâu không
"Clip này tích cực, xem xong thấy yêu đời!",positive,clip tích_cực xem xong thấy yêu đời
"Giao hàng trễ, hàng còn bị méo mó nữa!",negative,giao hàng trễ hàng còn méo_mó nữa
"Phim này nghe nói hay, để xem thử đã.",neutral,phim nghe nói hay để xem thử
"Game này chiến thuật đỉnh, chơi cực kỳ phê!",positive,game chiến_thuật đỉnh chơi cực_kỳ phê
"Dịch vụ hỗ trợ khách hàng quá tệ, chán luôn!",negative,dịch_vụ hỗ_trợ khách_hàng quá tệ_chán luôn
"Video này ngắn gọn, xem cho vui thôi.",neutral,video ngắn_gọn xem vui thôi
"Nhạc acoustic này dịu dàng, nghe thư giãn lắm!",positive,nhạc acoustic dịu_dàng nghe thư_giãn lắm
"Hàng giao lâu, chất lượng thì quá kém!",negative,hàng giao lâu chất_lượng thì quá kém
"App này mới nghe nói, để tải về thử.",neutral,app mới nghe nói để tải về thử
"Clip kể chuyện ma rùng rợn, xem mà nổi da gà!",positive,clip kể chuyện ma rùng_rợn xem mà nổi da gà
"Phim này nhạt nhẽo, xem nửa chừng là bỏ!",negative,phim nhạt nhẽo xem nửa_chừng bỏ
"Sản phẩm này giá mềm, chưa rõ chất lượng sao.",neutral,sản_phẩm giá mềm chưa rõ chất_lượng sao
"Game này căng thẳng, chơi mà hồi hộp ghê!",positive,game căng_thẳng chơi mà hồi_hộp ghê
"Dịch vụ quảng cáo thì hay, thực tế thì dở!",negative,dịch_vụ quảng_cáo thì hay thực_tế thì dở
"Nhạc này lạ tai, chưa biết có hợp không.",neutral,nhạc lạ_tai chưa biết hợp không
"Video này quay đẹp, xem đã mắt lắm!",positive,video quay đẹp xem mắt lắm
"Hàng giao thiếu phụ kiện, shop không chịu bù!",negative,hàng giao thiếu phụ_kiện shop không chịu bù
"Clip này nội dung mới lạ, để xem hết xem.",neutral,clip nội_dung mới_lạ để xem hết xem
"App này giao diện xịn, dùng rất tiện!",positive,app giao_diện xịn dùng rất tiện
"Phim này dở tệ, phí cả buổi tối xem!",negative,phim dở tệ_phí cả buổi tối xem
"Game này bạn khen, để chơi thử xem sao.",neutral,game bạn khen để chơi thử xem sao
"Nhạc live này đỉnh, nghe mà nổi hết da gà!",positive,nhạc live đỉnh nghe mà nổi hết da gà
"Giao hàng chậm, còn giao nhầm chỗ nữa!",negative,giao hàng chậm còn giao nhầm chỗ nữa
"Video này hơi buồn, chưa rõ có hay không.",neutral,video hơi buồn chưa rõ hay không
"Sản phẩm này đáng tiền, mua không hối tiếc!",positive,sản_phẩm đáng tiền mua không hối_tiếc
"Dịch vụ hỗ trợ khách hàng tệ, không đáng tin!",negative,dịch_vụ hỗ_trợ khách_hàng tệ không đáng tin
"Phim này dài tập, để xem dần dần.",neutral,phim dài_tập để xem dần_dần
"Clip này hài hước, xem cười bể bụng!",positive,clip hài_hước xem cười bể bụng
"Hàng rẻ mà kém, mua về chỉ tổ vứt!",negative,hàng rẻ mà kém mua về chỉ tổ vứt
"App này mới ra, chưa biết có ổn không.",neutral,app mới ra chưa biết ổn không
"Game này cuốn hút, chơi quên cả giờ giấc!",positive,game cuốn_hút chơi quên cả giờ_giấc
"Nhạc gì mà chán thế, nghe không nổi luôn!",negative,nhạc gì mà chán_thế nghe không nổi luôn
"Video này hình đẹp, chưa rõ nội dung thế nào.",neutral,video hình_đẹp chưa rõ nội_dung thế_nào
"Phim này kịch bản hay, xem rất đã!",positive,phim kịch_bản hay xem rất
"Dịch vụ giao hàng thiếu trách nhiệm, chán!",negative,dịch_vụ giao hàng thiếu trách_nhiệm chán
"Sản phẩm này giá cao, để cân nhắc thêm.",neutral,sản_phẩm giá cao để cân_nhắc thêm
"Clip này phân tích kỹ, xem học được nhiều!",positive,clip phân_tích kỹ xem học nhiều
"Hàng giao trầy xước, shop không chịu trách nhiệm!",negative,hàng giao trầy_xước shop không chịu trách_nhiệm
"Game này mới lên kệ, chưa biết có hot không.",neutral,game mới lên kệ chưa biết hot không
"Nhạc này nhẹ nhàng, nghe muốn thả hồn!",positive,nhạc nhẹ_nhàng nghe muốn thả hồn
"App này lỗi liên tục, dùng mà tức điên!",negative,app lỗi liên_tục dùng mà tức điên
"Video này ngắn gọn, xem thấy cũng ổn.",neutral,video ngắn_gọn xem thấy ổn
"Phim hành động này đỉnh, xem mãn nhãn lắm!",positive,phim hành_động đỉnh xem mãn nhãn lắm
"Dịch vụ giao hàng lằng nhằng, không đáng tin!",negative,dịch_vụ giao hàng lằng_nhằng không đáng tin
"Sản phẩm này bạn gợi ý, để thử xem sao.",neutral,sản_phẩm bạn gợi_ý để thử xem sao
"Clip này ý tưởng độc, xem thích mê!",positive,clip ý_tưởng độc xem thích mê
"Hàng giao lâu, mở ra hỏng luôn!",negative,hàng giao_lâu mở ra hỏng luôn
"Nhạc này mới lạ, chưa biết có thích không.",neutral,nhạc mới_lạ chưa biết thích không
"Game nhập vai này hay, chơi cực kỳ cuốn!",positive,game nhập_vai hay chơi cực_kỳ cuốn
"Dịch vụ quá tệ, không đáng để thử lần nữa!",negative,dịch_vụ quá tệ không đáng để thử lần nữa
"Video này nội dung nhẹ, xem cho vui thôi.",neutral,video nội_dung nhẹ xem vui thôi
"Phim này cảm xúc, xem mà rơi lệ!",positive,phim cảm_xúc xem mà rơi_lệ
"Hàng gì mà kém thế, mua về tiếc đứt ruột!",negative,hàng gì mà kém thế mua về tiếc_đứt ruột
"App này mới cài, chưa rõ có tốt không.",neutral,app mới cài chưa rõ tốt không
"Clip reaction này vui, xem cười đau bụng!",positive,clip reaction vui xem cười đau bụng
"Giao hàng chậm, nhân viên còn thái độ tệ!",negative,giao hàng chậm nhân_viên còn thái_độ tệ
"Game này đồ họa đẹp, để chơi thử xem.",neutral,game đồ họa đẹp để chơi thử xem
"Nhạc EDM này sôi động, nghe muốn nhảy luôn!",positive,nhạc edm sôi_động nghe muốn nhảy luôn
"Dịch vụ hỗ trợ khách hàng kém, không nhiệt tình!",negative,dịch_vụ hỗ_trợ khách_hàng kém không nhiệt_tình
"Phim này dài, chưa biết có đáng xem không.",neutral,phim dài chưa biết đáng xem không
"Video này sáng tạo, xem mà trầm trồ!",positive,video sáng_tạo xem mà trầm_trồ
"Hàng giao sai, shop không chịu sửa lỗi!",negative,hàng giao sai shop không chịu sửa lỗi
"Sản phẩm này giá rẻ, để mua thử xem.",neutral,sản_phẩm giá rẻ để mua thử xem
"Game này kịch tính, chơi mà tim đập mạnh!",positive,game kịch tính_chơi mà tim đập mạnh
"Nhạc gì mà chán ngắt, nghe phát buồn!",negative,nhạc gì mà chán_ngắt nghe phát buồn
"Clip này nội dung lạ, xem thử cho biết.",neutral,clip nội_dung lạ xem thử biết
"Phim này plot hay, xem xong bất ngờ!",positive,phim plot hay xem xong bất_ngờ
"Dịch vụ giao hàng tệ, không đúng giờ!",negative,dịch_vụ giao hàng tệ không đúng giờ
"App này nghe bảo tiện, để dùng thử xem.",neutral,app nghe bảo_tiện để dùng thử xem
"Video du lịch này đẹp, xem muốn đi ngay!",positive,video du_lịch đẹp xem muốn đi ngay
"Hàng kém bền, dùng vài hôm là hỏng!",negative,hàng kém bền dùng vài hôm hỏng
"Nhạc này bình thường, chưa thấy gì đặc biệt.",neutral,nhạc bình_thường chưa thấy gì đặc_biệt
"Game này hấp dẫn, chơi quên cả ăn uống!",positive,game hấp_dẫn chơi quên cả ăn_uống
"Dịch vụ hỗ trợ chậm, thái độ không ra gì!",negative,dịch_vụ hỗ_trợ chậm thái_độ không ra gì
"Phim này bạn khen, để xem thử sao.",neutral,phim bạn khen để xem thử sao
"Clip này quay đẹp, nội dung lôi cuốn!",positive,clip quay đẹp nội_dung lôi_cuốn
"Hàng giao trễ, còn bị bể nữa chứ!",negative,hàng giao_trễ còn bể nữa chứ
"Sản phẩm này giá ổn, chưa rõ bền không.",neutral,sản_phẩm giá ổn chưa rõ bền không
"Nhạc ballad này thấm, nghe mà xúc động!",positive,nhạc ballad thấm nghe mà xúc_động
"Video này quá chất, xem xong muốn share ngay!",positive,video quá chất xem xong muốn share ngay
